content,score,at,translated_review
mau nonton tapi film tapinga bisa video tidak bergerak sama sekali,1,2025-02-18 06:56:58,want watch film tapinga move
Banyak bug. langanannya mahal lagi,1,2025-02-18 05:05:09,lot bug trailes expensive
Bagust moerah,1,2025-02-18 04:05:42,bagus moerah
suara doang gx ada gambar,1,2025-02-18 02:01:40,sound gx picture
Buruk aplikasinya susah bgt mau login padahal udah berlangganan,1,2025-02-17 12:55:33,application bad hard log even though subscribed
"Wow, jeryen sekali aplikasi ini, kualitas nya sangat bagus, dan pemutaran video sangat lancar 🦅",1,2025-02-17 12:35:11,wow application good quality good video playback smooth 🦅
Mantap,5,2025-02-17 10:25:25,stable
Karena bisa menonton apa saja jadi karena ada ngeback nya jadi nya kasih bintang 4 dulu tapi bagus kok,4,2025-02-17 09:52:21,watch anything backing love star first good
Oy dana gua ke kuras plis lah kalau pembayaran tolong konfirmasi ke emaillllll kan ada emailll kalau telatya udah jangan asal,1,2025-02-17 07:36:50,oy fund go plis payment please confirm emailllll email dont
gak bisa di bukaa,1,2025-02-16 13:39:23,cant opened
"Yang berlangganan kok pada ngeluh ya, aku kaum mendang - mending cari yang gratisan aja, banyak film yang saya cari dari short video di Facebook saya temukan disini. Searching ketemu langsung download filmnya nonton pas lagi fatique saat mancal HD di tambang atau saat hujan. Sebelumnya berlangganan di netfl*x cuma banyak pencarian film g ketemu,iseng"" cari aplikasi yang lainnya ketemu lah aplikasi ini, auto stop berlangganan netflix uninstall dan setia pakai aplikasi ini. Makasih BSTATION.",5,2025-02-16 09:12:07,one subscribed complaining mirror looking free one many film looking short video facebook found searching meet directly download movie watching fatique mancal hd mine rain previously subscribed netflx lot finding movie fun looking application meet application auto stop subscribed netflix uninstall faithfully use application thanks bstation
"Saya sangat menyukai aplikasi ini!, namun. Ada beberapa bug di aplikasi ini seperti saat saya gagal mendownload film yang saya inginkan, dan saya memencet ""Coba Unduh Lagi"" tetapi tidak terunduh melainkan tidak terjadi apa-apa, saya disini melapor kan bug dan saya mengrating aplikasi ini. Terimakasih!",4,2025-02-16 09:07:01,really like application however several bug application like failed download movie wanted pressed try download downloaded nothing happened report bug describe application thank
baik,5,2025-02-16 08:58:48,good
Apk gj download lama pas nonton eh gak ada gambar huuu 😤😤😤😤,1,2025-02-16 07:25:33,apk gj download old watching eh picture huuu 😤😤😤😤
"Sori kasih bintang 1. Jelek tidak seperti netflix. Ini sudah pilih yang premium 10 device, malah cuma bisa 2 device...huft...",1,2025-02-16 03:07:21,sorry star love like netflix chosen premium device even device huft
Sangat susah sekali dan bahkan tidak bisa login nya,2,2025-02-16 02:41:33,difficult cant even log
Hahaha. Memalukan,1,2025-02-16 01:16:08,hahaha humiliate
Otp code salah terus,1,2025-02-15 17:11:56,otp code continues
Miris rate nya juga,1,2025-02-15 15:06:46,sad rate
Masa baru download langsung di suruhh bayar,1,2025-02-15 13:01:28,new period download directly order pay
"Udah berlangganan, belum sampai sebulan udah ga bisa nonton lagi, layar nya gelap padahal wifi lancar"" Aja",1,2025-02-15 08:19:22,already subscribed yet month already cant watch anymore screen dark even though wifi smooth
jir jelek banget ratingnya,1,2025-02-15 04:19:55,rating really bad
"APLIKASI NYA BURUK sering gagal putar, mirror ke tv juga sering gak bisa.. film2 nya kurang menarik.. terlalu banyak BUG,, subtitle indo nya juga bnyk yg gak ada.. menyesal bgt berlangganan krna review2 busuk di youtube,, cuma dipake 2-3x aja.. mending nambah dikit langganan netflix sdh jelas2 berkualitas, drpd langganan ini gak bisa dipake.. APES",1,2025-02-15 04:14:08,application bad often fails turn mirror tv also often cant movie interesting many bug indo subtitle also many dont exist regret subscribed rotten review youtube used x
"Sering ga konek, udah bayar mahal dan langganan susah buat nontonnya. Tolong PECAT DIVISI NETWORK NYA. Payah.",1,2025-02-14 22:36:41,often connect already paid dearly subscription difficult watch please fire network division bad
"Tolong ditambah lagi filmnya, terutama banyak drama korea yang bagus",4,2025-02-14 18:50:32,please add film especially lot good korean drama
"Emang benar ada beberapa bug,tapi dilihat dari sisi baik,entah kenapa apk ini memulihkan akun ku dulu yang telah lama hilang,jadii Terima kasih atas bantuan nya",5,2025-02-14 14:13:49,true bug seen good side reason apk recovered account long lost thank help
Baru saja berlangganan sudah error tidak bisa di tonton,1,2025-02-13 13:48:05,subscribing error cant watched
"Woy uang gw ngapa diambil,pdhl gk berlangganan lgi malah kepotong lgi duitnya",1,2025-02-13 06:24:02,woy money taken pdhl doesnt subscribe even money cut
Gak bisa login,1,2025-02-13 04:13:26,cant log
Ada film yg gratis buat menonton?,5,2025-02-12 19:16:03,free movie watching
Aplikasi sampah,1,2025-02-12 15:09:10,garbage application
Kaya pler,1,2025-02-12 12:53:41,pler
untuk developer tolong segera di perbaiki semua fiturnya. lihat ranting aplikasi ini sangat jelek sekali! kualitas aplikasi sangat buruk.,1,2025-02-12 12:05:55,developer please fix feature immediately see application branch ugly application quality bad
Pelayanan Disney mantap cuy,5,2025-02-12 08:40:12,disney service great cuy
Terpotong otomatis biaya nya melalui dana tapi sampai skrg sudah 2 hari blm bisa di tonton disitu di katakan lakukan pembayaran dulu.,3,2025-02-12 08:00:05,automatically cut cost fund day yet cant watched said make payment first
Aplikasinya jelek di persulit mulu kode verif nya gajelas udh di masukin bner malah salah berulang ulang,1,2025-02-12 07:49:39,application bad making difficult verification code eleven bner
Kurang bagus masalh nya semua trailer doang,1,2025-02-12 06:41:57,good enough trailer
"video hanya muncul suara, sudah mencoba dikasih apk via google drive ternyata hanya beberapa waktu saja dan permasalahan muncul kembali...",1,2025-02-12 02:13:17,video appears sound already trying given apk via google drive turn time problem reappears
Halo kenapa aku ga dapet kode?,1,2025-02-12 01:14:42,hello dont get code
"Bintang tidak berbohong, dari pada buang2 duit buat langganan ini aplikasi. mending cari aplikasi streaming lain yg lebih jelas dan pasti.",1,2025-02-11 18:05:27,star lie rather throwing money application better find streaming application clearer certain
"Gak bisa hapus akun, aplikasi busuk",1,2025-02-11 08:35:06,cant delete account rotten application
Jelekkk,1,2025-02-11 07:36:04,signal
"tidak bisa di buka,alasan kedahalan jaringan",1,2025-02-11 04:47:02,opened reason networking
Nga bisa login,1,2025-02-11 02:07:01,log
Ganti nama aplikasinya jadi Disney hot radio suara doang GK ada gambar blog..,1,2025-02-10 17:54:15,change name application disney hot radio suara blog picture
Saya berlangganan disney 1 bulan. Langganan saya berakhir tanggal 12 februari. Ini masih tanggal 10 februari dan masa langganan belum berakhir. Tapi saldo saya sudah terpotong dan tidak ada pengembalian dana. Tolong tanggapi!,1,2025-02-10 15:57:07,subscribe disney month subscription end february still february subscription period balance cut refund please respond
aku suka😄😆,5,2025-02-10 15:45:44,like 😄😆
"Kirain filmnya bagus-bagus ternyata jelak kebanyakan kartun, fantasi dan drama tidak jelas.",1,2025-02-10 15:45:24,think film good turn cartoon fantasy drama unclear
"Nonton film selalu bufering,email cs tetap nggak ada solusi",1,2025-02-10 14:41:36,watching movie always buffer c email still solution
Hapus aja aplikasih ini dari play store,1,2025-02-10 13:42:20,delete application play store
"Video susah di putar error Mulu, suara gak ada mending Netflix dah",1,2025-02-10 04:43:41,video difficult play error first sound doesnt netflix
I Like Disney+ Hotstar!,5,2025-02-09 15:53:25,like disney hotstar
"Gabisa login padahal jaringan bagus,wifi ga bisa,paket data pun gabisa",1,2025-02-09 13:07:57,cant log even though network good wifi cant data package cant
"Aplikasi ngga jelas br mau daftar aja udah ngga bisa, klu ngga siap pakai ngga usah launching aplikasi sampah kaya gini",1,2025-02-09 12:38:14,application clear want register cant dont get ready use dont need launch rich garbage application
Kenapa Spider verse sedikit?,5,2025-02-09 07:06:58,spider verse little
Payaahhh kode otp udah dimasukin tapi salah mulu. Yang ngirim kode otp kan lu sendiri. Masa kode otp lu yang ngirim lu juga yang salahin. Aneh,1,2025-02-08 15:26:25,payaahhh otp code inserted wrong time sent otp code send otp code blame weird
"Kenapa pemutaran videonya menjadi lemot sekalii, padahal internet syaa lancar saja di platform lain",3,2025-02-08 13:31:40,video screening slow even though internet smooth another platform
Jelek banget deh ap nya.....masak aku. Cuman tertaut 1 pas nonton ad pemberitahuan full screen...maksudnya apa coba ????,1,2025-02-08 11:19:33,really ugly cook linked watching ad notification full screen mean try
Mau nonton film ga bisa2. Tulisannya masalah jaringan. Sudah pakai wifi dan data tetep ga bisa.,1,2025-02-08 05:03:50,want watch movie cant writing network problem already using wifi data still cant
KODE VERIFIKASI NYA GABISA ANEHHHHHHHHH GAJELAS NOIY GILA STRESSSSS,1,2025-02-07 14:31:27,verification code cant weirdhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
"Ya Tuhan Tolong Kembalikan Uang Saya. Tiba Tiba Ketarik Otomatis Di Akun Dana Saya Senilai 65.000,itu sepertinya kepencet fitur langananya,saya mohon kembalikan uang saya,saya sangat membutuhkan uang saya",3,2025-02-07 14:18:19,god please return money suddenly automatically attracted fund account worth seemed like distracted main feature beg back money really need money
Suaranya kecil banget beda sama Netflix dan lain2.,2,2025-02-07 10:56:19,sound small netflix others
Sukanya ngulang ngulang kode Gak masuk juga,1,2025-02-07 10:22:51,like repeat code
Maaaf kasih bintang dua soalnya pas mau login tiba tiba gak bisa login,3,2025-02-07 09:30:53,im sorry two star want log suddenly cant log
ini apk sampah. gambar muter2 mulu. gjs,1,2025-02-06 15:28:26,garbage apk image muter mulu gjs
"film banyak yg dihilangkan, bahkan upin ipin, pdhl aku langganan 1 tahun pas tahun 2023 200rb an, skrng 400-700 rb an. mau stop langganan tp aku pecinta princess disney😔",2,2025-02-06 15:26:03,many film eliminated even upin ipin pdhl subscribed year thousand thousand want stop subscribing im lover disney princess😔
Baik,1,2025-02-06 14:06:11,good
Tidak ada gambar nya.cuma suara...kembalikan uang saya,1,2025-02-06 08:28:17,picture
Tolong perbanyak dubing seperti aplikasi sebelah dan perbanyak/perlengkap fitur seperti aplikasi sebelah,4,2025-02-05 16:25:12,please increase dubing like next application multiplysupplement feature next application
"subtitle kecil, sering ngelag",1,2025-02-05 12:25:15,small subtitle often slag
Harus bayar klo mau nnton,2,2025-02-05 11:41:23,pay want nnton
Untuk login harus logout dulu salah satu akun jadi nya repot,2,2025-02-05 10:37:09,log log first one account hassle
Ini knpa udh download malah ga bisa daftar gabisa di pencet pas mau masukin kode negara nya haduhh,1,2025-02-05 06:56:20,havent even able download cant list push want enter country code
"Min mau nanya, ini masalah yang sering di alami(cuma ada suara, tidak ada gambar) sudah di perbaiki belum ya? Saya ingin berlangganan lagi tapi takut ga bisa di pakai karena masalah tersebut. tolong min bisa bantu jawab",3,2025-02-05 01:52:57,min want ask problem often experienced sound picture fixed yet want subscribe afraid cant used problem please please help answer
"video selalu buffering , sudah pakai wifi atau data sama saja ratting bintang 1 sebanyak itu ga ada perbaikan aplikasi",1,2025-02-04 17:42:52,video always buffering already using wifi data
Tidak bisa login.,1,2025-02-04 14:11:01,cant log
"Yakali gua ngatur subtitle di ytub biar kecil,mlh di disney ikut kecil ,tolong segera diperbaiki",1,2025-02-04 13:22:46,yakali set subtitle ytub small mlh disney joined small please fix immediately
Bagus sihhh tapi filim nya kurang banyak,3,2025-02-04 11:01:23,good anyway film much
"Ini kenapa ya?? Kok gada gambarnya pas nonton, cuma ada suaranya 😔😔",1,2025-02-04 09:45:52,come picture watching there voice 😔😔
Langganannya mihil boss,4,2025-02-03 19:20:02,subscription mihil bos
Rugiiii,1,2025-02-03 16:41:10,rugiiii
Kacau Disney hotstar sekarang ada suara tidak ada gambar untung tidak saya upgrade untuk semua cari aplikasi yang lain saja,1,2025-02-03 11:46:40,chaotic disney hotstar noise image profit dont upgrade looking application
Kenapa saat masuk otp tidak bisa masuk ke apk saat di klik,1,2025-02-03 11:37:25,entering otp cant enter apk clicked
Kualitas download film sudah pilih full hd ketika di play rendering gambar turun seperti streaming ketika koneksi internet jelek.,3,2025-02-02 18:17:31,quality download movie chosen full hd play rendering image streaming internet connection bad
Kalau pake data seluler lancar tapi kalau pakai wifi gak bisa,1,2025-02-02 14:34:01,use cellular data smoothly use wifi cant
"Aplikasi busuk, suara ada gambarnya gak ada. Udh berasa lagi denger radio aja",1,2025-02-02 14:27:26,rotten application picture feel like hearing radio
Najis,1,2025-02-02 13:35:20,impurity
"Saran kepada Applikasi Disney Hotstar, baru baru ini, aplikasi sering tidak tampilkan gambar film, hanya ada suara, meski Telah update app...",3,2025-02-02 10:16:22,suggestion disney hotstar application recently application often show movie image sound even though updated app
"Kenapa saya tidak bisa menonton film yg ingin saya tonton padahal saya sudah upgrade ke premium,,selalu loading tolong diperbaiki masa udh beli mahal² g bs dibuka[tidak bisa dibuka pada pukul (16.15)(2 febuari 2025)]",1,2025-02-02 09:30:45,cant watch movie want watch even though upgraded premium always loading please repair period expensive g b opened opened february
"Udah mah sekarang film disney dah busuk isi harga platform filmnya mahal, siapa yg mau beli terus menerus",1,2025-02-01 14:21:01,already disney movie rotted content price film platform expensive want buy continuously
Blackscreen for 2 days. Lol i can't even screenshoot because it's when I'm watching something,1,2025-02-01 09:37:36,blackscreen day lol cant even screenshoot im watching something
"Video tdk muncul gambar, hanya ada suara. Sdh uninstall - install lagi tetap tdk bisa. Settingan video sdh mode paling rendah, tetap tdk bisa. Sdh email ke disney hotstar, sdh lakukan langkah2 di email tetap tdk bisa, mana ribet banget step2 nya",1,2025-02-01 09:10:49,video appear image sound uninstall install still cant lowest mode video setting still cant already email disney hotstar already step email still cant really complicated step
"Ini disney aneh banget sumpah tolil, cuma mau masuk doang tinggal masukin kode otp tapi salah terus. Kode otp nya aja sms langsung dari disney tapi disalahin terus. Gimana ceritanyaaaa, ah!",1,2025-02-01 08:39:23,disney strange swear tolil want enter entering otp code continues wrong otp code text directly disney keep story ah
"Selalu saja gangguan koneksi, tidak ada solusi, email tidak ada solusi",1,2025-02-01 06:33:53,always connection disturbance solution e mail solution
"Nyesel berlanganan, aplikasinya ga memadai, tolong di benerin lagi dong",1,2025-02-01 03:00:43,regretted application inadequate please correct
"susah login, dicoba berulang kali tidak bisa",1,2025-02-01 01:59:19,difficult log try repeatedly
"Aplikasi apa ini.. Setiap nonton film baru.. selalu macet2, kualitas gambar nya di turunkan pun masih bgitu.. Nyesel berlangganan..",1,2025-02-01 01:23:46,application every time watching new movie always jammed quality image still lowering still regret subscribing
Mau login aja ga bisa..masukin no hp terkendala🤦‍♂,1,2025-02-01 00:55:46,want log cant enter cellphone number constrained🤦‍♂
Aplikasi taekk.. Padahal sinyal lancar tapi loading minta ampun pas streaming. Emang aplikasi streaming paling taekk.. Nyesel langganan,1,2025-01-31 13:24:37,taekk application even though signal smooth loading asking forgiveness streaming indeed taekk streaming application regret subscription
Mantul,5,2025-01-31 11:59:01,mantul
Terima kasih,5,2025-01-31 10:05:53,thank
Mau login eror terus,1,2025-01-31 05:33:11,want login error
Udh download sama uninstall berkali² tapi tetap aja gak bisa masuk tulisannya terjadi kesalahan. kemarin bisa tuh masuk ehh pas mau langganan di apknya gak bisa tulisannya terjadi kesalahan,1,2025-01-31 04:24:37,udh download uninstall many time still cant enter writing error yesterday could go ehh wanted subscribe apk couldnt write mistake
Disney suck,1,2025-01-31 03:26:44,disney suck
"Kenapa yah cuma bisa satu device saja yang bisa di tonton, padahal saya berlangganan untuk 3 device??? Tolong yang amanah dong, jangan menipu",2,2025-01-30 15:29:49,one device watched even though subscribe device please trust dont cheat
"Gua nyesel bgt udah bayar bulanan malah gak bisa di tonton, ini kenapa sih disney suara nya doang yg muncul tapi gambar nya gak muncul 😭😮‍💨",1,2025-01-30 13:53:33,regret already paid monthly cant watched disney sound appears picture doesnt appear 😭😮‍💨
Overall bagus cuma saya ada sedikit masalah sama ui nya yg suka ngebut ya cuma itu aja sih,4,2025-01-30 09:09:06,overall good little problem ui like speed thats
"Langganan sudah dibatalkan tapi dana tetap di debet. Langganan saya berakhir 31 Januari, dan sudah melakukan pembatalan perpanjangan. Tapi dana saya sudah di debet dari gopay tanggal 30 Januari. Bagaimana caranya untuk mengajukan pengembalian dana?",2,2025-01-30 03:54:25,subscription canceled fund remain debit subscription ended january made extension cancellation fund debit gopay january submit refund
PANTAS RATING JELEK NONTON AJA GA BISA HARUS BAYAR MAHAL LAGI JANGAN DOWNLOAD,1,2025-01-29 07:35:48,worth bad rating watching cant pay dearly dont download
keep it up i love this app 🤩,1,2025-01-29 05:42:49,keep love app 🤩
"Tolong lah dibantu, padahal saya tidak pernah menggunakan vpn atau proxy tapi tiba-tiba pas mau nonton muncul notif kesalahan koneksi katanya terhubung ke vpn atau proxy. Rugi saya bayar mahal nggak bisa nonton sama sekali. Eh giliran buat pengaduan katanya harus nonton pake kuota internet jangan pake wifi rumah, ya boros banget dong",1,2025-01-29 01:30:03,please help even though never used vpn proxy suddenly want watch connection notification connection said connected vpn proxy loss paid lot watch eh turn complaint said watch using internet quota dont use home wifi really wasteful
"ini kenapa saya gak bisa daftar yah, padahal udah di kirim kodeny tapi tetep salah, padahal kodenya benar?",1,2025-01-28 14:09:06,cant register even though codeny sent still wrong even though code correct
"Beresin segera dah nih apps, sumpah, masak ga masih tetap ga ada gambarnya cuman ada suaranya aja 😡😡 Satu lagi, ga usah minta user kirim2 keluhan via email. Langsung perbaiki apps nya. Ga usah ngeribetin user 😡😡",1,2025-01-28 10:20:55,clean immediately apps swear cook still doesnt picture voice 😡😡 one need ask user send complaint via email immediately fix apps need rush user 😡😡
"ini aplikasi apaan sih, sumpah rugi banget baru juga mau nonton sering banget ada suaranya gaada gambarnya abis itu buffering mulu padahal koneksi nya bagus, rugii boncosss sumpah!!!",1,2025-01-28 00:37:09,application swear really lose also want watch often voice picture buffering even though connection good loss boncosss oath
Sangat bagus,5,2025-01-27 22:19:11,good
Mantap 💪💪💪,5,2025-01-27 16:00:29,strong 💪💪💪
"Udah langganan premium tapi ternyata pas di puter filmnya gambar ga keluar hanya ada suaranya saja, udh di unistall dicoba berkali-kali tetep aja engga bisa, ayolah diperbaiki",1,2025-01-27 15:26:47,already premium subscription turn right film daughter picture doesnt come sound already unistall try many time cant come let fix
Berkali kali coba mau langganan ngga bisa bisa. Tulisannya sudah berlangganan tapi semua video ga bisa d akses. Mau bayar pun ngga bisa. Kenapa sulit sekali sistemnya.,1,2025-01-27 14:39:35,many time try subscribe writing subscribed video cant accessing want pay cant system difficult
Masih belum punya duit untuk membayar film film nya,2,2025-01-27 12:42:31,still dont money pay film
Kok di smart TV disney hotstar ngealAG terus ya? Suka berhenti dan eror.. Dah bayar sebulan juga ..di email juga eror..hadew.mana dah terlanjur bayar jugaaa,1,2025-01-27 12:42:03,kok smart tv disney hotstar ntealag right like stop eror pay month email erorhadew
"Ini aplikasi yang bagus,orang orang yang bilang ini tidak bagus itu karena hp kepenuhan memo dan sinyal nya aja terus kalo sinyal jelek ya download aja kan ada fitur download film biar nonton nya bisa offline GK ush langsung kritik deh kalo GK cek dulu",5,2025-01-27 10:43:39,good application people say good cellphone full memo signal keep signal bad download movie download feature watch offline ush directly dont check first
Aplikasi jelek,1,2025-01-27 07:40:19,bad application
"Apk gak jelas udah berlangganan basic Pas mau nonton tetap aja gak bisa, mau nonton film tiba tiba nge freeze terus kembali ke layar kunci, udah gitu berkali kali juga hapus apk nya, hapus cache nya.",1,2025-01-27 05:58:26,apk clear already subscribed basic want watch still cant want watch movie suddenly freeze return lock screen like many time also delete apk delete cache
"pembayaran sudah dilakukan via gopay tapi tidak bisa login, yang tampil error 92, bagaimana ini?",1,2025-01-27 05:20:12,payment made via gopay log appeared error
Harganya mahal kualitas nihil nyesel udh langganan setahun lagi😭,1,2025-01-27 04:08:25,price expensive quality nipple already subscribed year
Bagus sekali,5,2025-01-27 03:03:07,good
"OI.. BIKIN APPS DI MAINTAIN LAAA..!! gak bisa masuk, klik ""bantuan"" Halaman tidak tersedia 🤦‍♂️ niat mau tahunan RAGUUU",1,2025-01-27 01:17:01,oi make apps maintain laaa cant enter click help page available 🤦‍♂️ intention annual doubtful
Apk gak guna di buat,1,2025-01-26 17:12:13,apk used
banyak bug,1,2025-01-26 11:09:41,lot bug
CUKUP SEKALI SEUMUR HIDUP LANGGANAN DISNEY. FILM LAMA UPDATE. DIBIOSKOP 2 BULAN SELESAI TAYANG TAPI DI DISNEY BELUM ADA. MAHAL DOANG GA BERKUALITAS.,1,2025-01-26 05:58:53,enough lifetime disney subscription old film update cinema month finished airing disney expensive quality
"Untuk sekarang cukup puas, namun ada bug yang cukup membuat kesal, Dan Tolonglah Disney+, berlangganan sekarang mahalnya seperti Netflix, masih aja ada Bug yang merugikan pengguna!",4,2025-01-25 16:30:55,quite satisfied bug enough make annoyance please disney subscribe expensive like netflix still bug harm user
Anjirr w ud batalin berlangganannya tapi kok masih nyedot duit w .. Anjir banget 😭,3,2025-01-24 22:31:12,organizing w ud batalin subscripture kok still cost money w
saya sudah langganan beberapa kali dan sebelumnya aman saja tapi semenjak tahun 2025 ini entah kenapa banyak bug errornya yang mulai video tidak bisa di putar melalui hp atau kalau pas di putar di tv suara tersendat sendat entahlah terlanjur langganan bulanan juga,2,2025-01-24 16:05:07,subscribed several time safe since somehow many bug error start video played cellphone right tv sound stalled dont know whether already monthly subscription
Bagus dan keren,4,2025-01-24 08:07:32,good cool
Alay,1,2025-01-24 07:35:35,regiment
cacat,1,2025-01-24 05:18:05,disabled
Bad,1,2025-01-24 04:31:45,bad
Kecewa,1,2025-01-24 04:23:59,disappointed
"Kata nya free kalo mau nntn ini mau nntn Frozen, Moana aja harus berlangganan masa saya cuma harus bisa nntn trailer nya doang itu juga 1 mnt masuk nya juga ribet habis habisin uang cuma buat nntn kartun doang perbaiki dong min mas asaya harus berlangganan buat nntn doang kan habis habisin uang udh nabung sampe 1 JT 200 masa saya harus bayar 700an ribuuu!😭 Perbaiki dong min saya kasih bintang 🌟🌟 aja",2,2025-01-24 04:23:47,word free want nntn want frozen subscribe time able able trailer also min love star 🌟🌟
Sulit banget buat login,1,2025-01-24 04:00:58,difficult login
Bagus,5,2025-01-23 16:58:25,good
